instituto,latitude,longitude
IE,-22.8149572,-47.0653333
FEAGRI,-22.8188263,-47.0605734
IA,-22.8152701,-47.0700717
IB,-22.8199818,-47.070042
IC,-22.8148648,-47.0645656
FEA,-22.8207202,-47.0682063
IFCH,-22.8159775,-47.0686712
FE,-22.8168297,-47.0660835
FEF,-22.8170717,-47.07299
FEnf,-22.8300615,-47.0624856
FEEC,-22.8211718,-47.0661905
FECFAU,-22.8184,-47.0604
FEM,-22.818326,-47.0661561
FCA,-22.55742,-47.4345065
FEQ,-22.8199421,-47.0653218
FT,-22.5617672,-47.4236182
FCF,-22.8243817,-47.0648925
IFGW,-22.8176227,-47.0668376
IG,-22.8238887,-47.0653872
IEL,-22.8138093,-47.0696401
IMECC,-22.8155457,-47.0672998
FCM,-22.8295802,-47.0639165
FOP,-22.7019901,-47.649105
IQ,-22.8184969,-47.0677093
